g = [('b', -1), ('a', -12), ('b', -1), ('a', -12), ('b', 8), ('a', 11), ('b', 9), ('a', 1), ('b', 14), ('a', 8), ('b', 6), ('a', -2), ('b', 8), ('a', -14), ('b', 2)] n=15, fixed words = 11499894
g = [('a', -4), ('b', 4), ('a', -8), ('b', 5), ('a', -1), ('b', 8), ('a', 1), ('b', -9), ('a', -15), ('b', 1), ('a', -12), ('b', 2), ('a', -14), ('b', 2), ('a', 7)] n=15, fixed words = 9568503
g = [('b', -14), ('a', -13), ('b', 13), ('a', -5), ('b', -15), ('a', -10), ('b', -4), ('a', 1), ('b', 8), ('a', 10), ('b', 14), ('a', 7), ('b', -4), ('a', -8), ('b', -14)] n=15, fixed words = 11400750
g = [('a', -8), ('b', 2), ('a', -15), ('b', -2), ('a', -12), ('b', 1), ('a', 4), ('b', -12), ('a', 13), ('b', -3), ('a', 13), ('b', -7), ('a', 3), ('b', -5), ('a', 13)] n=15, fixed words = 9568503
g = [('a', -7), ('b', 10), ('a', -6), ('b', -7), ('a', -5), ('b', -5), ('a', -11), ('b', -11), ('a', -8), ('b', -2), ('a', 10), ('b', 9), ('a', -10), ('b', -5), ('a', 10)] n=15, fixed words = 11546631
g = [('b', -3), ('a', -15), ('b', -8), ('a', 1), ('b', -2), ('a', -4), ('b', 15), ('a', -13), ('b', 3), ('a', -3), ('b', -14), ('a', -4), ('b', 2), ('a', 5), ('b', -4)] n=15, fixed words = 11076507
g = [('a', -11), ('b', 5), ('a', 4), ('b', -6), ('a', -1), ('b', -2), ('a', 3), ('b', 8), ('a', -2), ('b', -5), ('a', 11), ('b', -10), ('a', -5), ('b', -4), ('a', -15)] n=15, fixed words = 9568503
g = [('a', 9), ('b', 12), ('a', -2), ('b', 10), ('a', -8), ('b', 1), ('a', -10), ('b', -11), ('a', 15), ('b', -12), ('a', -11), ('b', 5), ('a', 3), ('b', 15), ('a', 9)] n=15, fixed words = 9568503
g = [('a', 14), ('b', 12), ('a', -9), ('b', 6), ('a', -2), ('b', -7), ('a', 12), ('b', 15), ('a', -2), ('b', 3), ('a', 4), ('b', -7), ('a', -7), ('b', 12), ('a', -15)] n=15, fixed words = 9568503
g = [('a', -1), ('b', 15), ('a', -7), ('b', 15), ('a', -9), ('b', 9), ('a', -11), ('b', 6), ('a', -7), ('b', -11), ('a', -4), ('b', -5), ('a', 6), ('b', 7), ('a', -7)] n=15, fixed words = 11499651
