g = [('a', 8), ('b', -7), ('a', 5), ('b', 9), ('a', -10), ('b', -2), ('a', 10)] n=50, fixed words = 351621812578971642570315
g = [('a', 7), ('b', -5), ('a', 9), ('b', -8), ('a', -1), ('b', 10), ('a', -1)] n=50, fixed words = 274506328712328151907277
g = [('a', -7), ('b', -6), ('a', 2), ('b', 1), ('a', -6), ('b', 4), ('a', 3)] n=50, fixed words = 171803146192394079920121
g = [('a', -9), ('b', 3), ('a', -2), ('b', -9), ('a', -10), ('b', 1), ('a', -6)] n=50, fixed words = 341845237329675497115930
g = [('a', -6), ('b', 3), ('a', -3), ('b', 3), ('a', 6), ('b', -10), ('a', -4)] n=50, fixed words = 171803146192394079920121
g = [('a', -4), ('b', 10), ('a', -8), ('b', 7), ('a', -4), ('b', -5), ('a', 7)] n=50, fixed words = 471607229115266017788342
g = [('a', 7), ('b', 9), ('a', 4), ('b', -8), ('a', 8), ('b', -6), ('a', 5)] n=50, fixed words = 275476415634082114660395
g = [('a', 4), ('b', 8), ('a', -3), ('b', 4), ('a', 3), ('b', -6), ('a', -10)] n=50, fixed words = 447369122241772287023439
g = [('b', -5), ('a', 1), ('b', 4), ('a', -4), ('b', -8), ('a', -3), ('b', -3)] n=50, fixed words = 410880749885526909538179
g = [('b', -4), ('a', -4), ('b', 2), ('a', 9), ('b', 4), ('a', -5), ('b', -6)] n=50, fixed words = 348801914473232068202670
g = [('b', -9), ('a', 4), ('b', -3), ('a', 6), ('b', 2), ('a', -5), ('b', 10)] n=50, fixed words = 342700724475439960499766
g = [('b', -9), ('a', -2), ('b', -6), ('a', 2), ('b', 10), ('a', -5), ('b', 5)] n=50, fixed words = 349919973602230818137319
g = [('b', 2), ('a', 2), ('b', -9), ('a', 5), ('b', -5), ('a', 3), ('b', -9)] n=50, fixed words = 275476415634082114660395
g = [('b', 2), ('a', 8), ('b', 4), ('a', -3), ('b', -10), ('a', 8), ('b', -5)] n=50, fixed words = 319802555232521684395272
g = [('b', 7), ('a', -10), ('b', 3), ('a', 4), ('b', -5), ('a', -9), ('b', 8)] n=50, fixed words = 275476415634082114660395
g = [('a', 1), ('b', 3), ('a', 6), ('b', 8), ('a', -3), ('b', -9), ('a', -1)] n=50, fixed words = 278269621927473364725015
g = [('b', -5), ('a', -6), ('b', -6), ('a', -3), ('b', -8), ('a', 10), ('b', 5)] n=50, fixed words = 171803146192394079920121
g = [('b', 5), ('a', -6), ('b', -2), ('a', 4), ('b', 6), ('a', -3), ('b', -3)] n=50, fixed words = 275476415634082114660395
g = [('a', 5), ('b', -5), ('a', -1), ('b', -10), ('a', 8), ('b', 5), ('a', -7)] n=50, fixed words = 171803146192394079920121
g = [('b', 9), ('a', -8), ('b', 10), ('a', -10), ('b', 3), ('a', 2), ('b', -6)] n=50, fixed words = 171803146192394079920121
g = [('b', 5), ('a', 4), ('b', 3), ('a', 4), ('b', -8), ('a', -8), ('b', 1)] n=50, fixed words = 345895601564884159632969
g = [('b', 2), ('a', -3), ('b', 5), ('a', -4), ('b', -8), ('a', 7), ('b', -4)] n=50, fixed words = 344909792230137901980459
g = [('a', 4), ('b', -2), ('a', 10), ('b', -2), ('a', -2), ('b', -9), ('a', -2)] n=50, fixed words = 171803146192394079920121
g = [('a', -10), ('b', -3), ('a', -2), ('b', 3), ('a', 1), ('b', 1), ('a', -6)] n=50, fixed words = 171803146192394079920121
g = [('a', 1), ('b', -3), ('a', -1), ('b', -8), ('a', 6), ('b', 1), ('a', 3)] n=50, fixed words = 319802555232521684395272
g = [('a', -6), ('b', 1), ('a', 9), ('b', 3), ('a', 8), ('b', -9), ('a', 9)] n=50, fixed words = 171803146192394079920121
g = [('b', 5), ('a', 5), ('b', -2), ('a', -10), ('b', 5), ('a', -10), ('b', -9)] n=50, fixed words = 262610684191008930676419
g = [('a', 3), ('b', 8), ('a', -6), ('b', 8), ('a', -5), ('b', 6), ('a', -7)] n=50, fixed words = 275476415634082114660395
g = [('a', 3), ('b', 7), ('a', -6), ('b', 7), ('a', 1), ('b', 5), ('a', -10)] n=50, fixed words = 270347426989687423469493
g = [('a', 6), ('b', -1), ('a', -5), ('b', -3), ('a', -5), ('b', 5), ('a', -10)] n=50, fixed words = 171803146192394079920121
g = [('b', -1), ('a', -9), ('b', -10), ('a', 9), ('b', -2), ('a', -10), ('b', -7)] n=50, fixed words = 171803146192394079920121
g = [('a', 7), ('b', 9), ('a', -3), ('b', 2), ('a', -7), ('b', 5), ('a', -9)] n=50, fixed words = 270347426989687423469493
g = [('b', 4), ('a', -10), ('b', 2), ('a', 10), ('b', -10), ('a', -9), ('b', 5)] n=50, fixed words = 316404454637107650099492
g = [('a', -6), ('b', 2), ('a', -1), ('b', -8), ('a', -5), ('b', 3), ('a', 10)] n=50, fixed words = 270347426989687423469493
g = [('b', 6), ('a', 10), ('b', 9), ('a', -5), ('b', -10), ('a', -3), ('b', 5)] n=50, fixed words = 171803146192394079920121
g = [('b', -5), ('a', 8), ('b', 6), ('a', 5), ('b', 5), ('a', 8), ('b', 10)] n=50, fixed words = 267615327803625488733624
g = [('a', -1), ('b', 2), ('a', -2), ('b', -6), ('a', 4), ('b', -8), ('a', 1)] n=50, fixed words = 278269621927473364725015
g = [('a', 3), ('b', 4), ('a', 3), ('b', 3), ('a', 3), ('b', -7), ('a', -9)] n=50, fixed words = 685821592179307071493713
g = [('b', -1), ('a', 1), ('b', -3), ('a', 8), ('b', -6), ('a', -3), ('b', 2)] n=50, fixed words = 275476415634082114660395
g = [('b', 9), ('a', 10), ('b', 4), ('a', 9), ('b', 5), ('a', -7), ('b', 4)] n=50, fixed words = 277245983541590413064019
g = [('b', -6), ('a', 2), ('b', -8), ('a', 3), ('b', -7), ('a', 3), ('b', -5)] n=50, fixed words = 171803146192394079920121
g = [('a', -6), ('b', 3), ('a', 6), ('b', 2), ('a', -4), ('b', -8), ('a', 9)] n=50, fixed words = 277258016009506857060366
g = [('a', 10), ('b', -6), ('a', -5), ('b', 3), ('a', 4), ('b', -8), ('a', -7)] n=50, fixed words = 171803146192394079920121
g = [('b', -8), ('a', 9), ('b', 8), ('a', 3), ('b', 2), ('a', 8), ('b', 7)] n=50, fixed words = 321470850755978257079340
g = [('a', -9), ('b', -10), ('a', 10), ('b', -3), ('a', 4), ('b', 1), ('a', 2)] n=50, fixed words = 270347426989687423469493
g = [('a', -1), ('b', -4), ('a', -4), ('b', 6), ('a', 9), ('b', 3), ('a', -5)] n=50, fixed words = 171803146192394079920121
g = [('a', -4), ('b', -9), ('a', 10), ('b', -8), ('a', 2), ('b', 5), ('a', 3)] n=50, fixed words = 277254042866395848745677
g = [('a', 8), ('b', -6), ('a', 5), ('b', 3), ('a', -4), ('b', -8), ('a', -2)] n=50, fixed words = 171803146192394079920121
g = [('a', 2), ('b', -10), ('a', 3), ('b', -4), ('a', -8), ('b', 5), ('a', -3)] n=50, fixed words = 472445411290428853920771
g = [('a', 4), ('b', -1), ('a', -7), ('b', -4), ('a', 4), ('b', 6), ('a', 8)] n=50, fixed words = 314316073857461683484403
g = [('b', 4), ('a', -10), ('b', -4), ('a', -5), ('b', 7), ('a', 8), ('b', 6)] n=50, fixed words = 171803146192394079920121
g = [('b', 6), ('a', -7), ('b', 7), ('a', -7), ('b', -5), ('a', 8), ('b', -6)] n=50, fixed words = 270347426989687423469493
g = [('a', 10), ('b', -10), ('a', 8), ('b', 3), ('a', 9), ('b', 5), ('a', 4)] n=50, fixed words = 171803146192394079920121
g = [('a', -1), ('b', 8), ('a', 6), ('b', -6), ('a', -3), ('b', 3), ('a', 2)] n=50, fixed words = 171803146192394079920121
g = [('b', 10), ('a', -2), ('b', -1), ('a', -8), ('b', 8), ('a', 3), ('b', 8)] n=50, fixed words = 171803146192394079920121
g = [('b', -4), ('a', -3), ('b', -6), ('a', 4), ('b', 4), ('a', -6), ('b', 9)] n=50, fixed words = 275476415634082114660395
g = [('b', -8), ('a', 4), ('b', -4), ('a', 8), ('b', -8), ('a', -4), ('b', 6)] n=50, fixed words = 171803146192394079920121
g = [('a', -2), ('b', -8), ('a', 10), ('b', 3), ('a', 8), ('b', 8), ('a', 10)] n=50, fixed words = 277292735872724996448597
g = [('a', 4), ('b', -1), ('a', 3), ('b', -3), ('a', 8), ('b', -9), ('a', 3)] n=50, fixed words = 324248570152459272011178
g = [('b', 1), ('a', -7), ('b', 4), ('a', -3), ('b', 4), ('a', 9), ('b', -10)] n=50, fixed words = 171803146192394079920121
g = [('a', 8), ('b', -9), ('a', -8), ('b', -8), ('a', 4), ('b', -5), ('a', -7)] n=50, fixed words = 269390792563698728424402
g = [('a', 5), ('b', -7), ('a', 4), ('b', -3), ('a', -2), ('b', -7), ('a', 1)] n=50, fixed words = 171803146192394079920121
g = [('b', -8), ('a', -7), ('b', -8), ('a', 5), ('b', -6), ('a', 5), ('b', -3)] n=50, fixed words = 267615327803625488733624
g = [('b', -1), ('a', -7), ('b', 4), ('a', 2), ('b', -9), ('a', 9), ('b', -3)] n=50, fixed words = 314358350474583336990996
g = [('a', -6), ('b', 4), ('a', -1), ('b', 1), ('a', -5), ('b', 7), ('a', -7)] n=50, fixed words = 262610684191008930676419
g = [('b', -8), ('a', -2), ('b', 8), ('a', 4), ('b', 10), ('a', 2), ('b', -3)] n=50, fixed words = 171803146192394079920121
g = [('a', -5), ('b', 7), ('a', 10), ('b', -7), ('a', 4), ('b', -5), ('a', 9)] n=50, fixed words = 306457409399098734629802
g = [('a', 4), ('b', -5), ('a', -8), ('b', -8), ('a', -5), ('b', -3), ('a', 3)] n=50, fixed words = 267615327803625488733624
g = [('a', -9), ('b', -2), ('a', -1), ('b', -7), ('a', 10), ('b', -10), ('a', -9)] n=50, fixed words = 322875899130672978460902
g = [('a', -1), ('b', 5), ('a', -5), ('b', 4), ('a', 2), ('b', -4), ('a', 10)] n=50, fixed words = 270347426989687423469493
g = [('b', 10), ('a', 10), ('b', -2), ('a', 3), ('b', 6), ('a', -1), ('b', 6)] n=50, fixed words = 270347426989687423469493
g = [('b', 8), ('a', -10), ('b', -6), ('a', -5), ('b', 6), ('a', 6), ('b', 10)] n=50, fixed words = 596243405990235714432138
g = [('a', 6), ('b', -2), ('a', 10), ('b', 2), ('a', -10), ('b', 1), ('a', 6)] n=50, fixed words = 270347426989687423469493
g = [('b', -10), ('a', 3), ('b', -3), ('a', -1), ('b', 4), ('a', 1), ('b', -4)] n=50, fixed words = 270347426989687423469493
g = [('b', -4), ('a', 3), ('b', 4), ('a', -7), ('b', 1), ('a', 1), ('b', 1)] n=50, fixed words = 270347426989687423469493
g = [('b', 1), ('a', -10), ('b', -1), ('a', 7), ('b', -8), ('a', -8), ('b', 2)] n=50, fixed words = 277253860418822790628029
g = [('a', -9), ('b', -6), ('a', 5), ('b', -2), ('a', -3), ('b', 3), ('a', 4)] n=50, fixed words = 275476415634082114660395
g = [('b', -7), ('a', 2), ('b', 1), ('a', -9), ('b', 4), ('a', 4), ('b', 5)] n=50, fixed words = 413304598011412344944457
g = [('a', -5), ('b', 9), ('a', -7), ('b', -2), ('a', 6), ('b', -7), ('a', -5)] n=50, fixed words = 348950644962383844830601
g = [('b', 1), ('a', -5), ('b', 7), ('a', 6), ('b', -3), ('a', 2), ('b', -1)] n=50, fixed words = 278269621927473364725015
g = [('b', 6), ('a', 9), ('b', -5), ('a', -8), ('b', -8), ('a', 3), ('b', 7)] n=50, fixed words = 348599003222257322256207
g = [('a', 2), ('b', 4), ('a', 10), ('b', -8), ('a', -7), ('b', -8), ('a', 6)] n=50, fixed words = 262610684191008930676419
g = [('a', -1), ('b', 10), ('a', -5), ('b', 2), ('a', 6), ('b', 6), ('a', 3)] n=50, fixed words = 480471154178492248470747
