g = [('a', -5), ('b', 1), ('a', -13), ('b', -2), ('a', 14), ('b', 15), ('a', -2), ('b', -5), ('a', 14), ('b', 15), ('a', 8), ('b', -11), ('a', -10), ('b', 11), ('a', -3)] n=20, fixed words = 2830315041
g = [('b', 13), ('a', -6), ('b', 4), ('a', -6), ('b', 6), ('a', 14), ('b', 5), ('a', 9), ('b', -1), ('a', -5), ('b', 15), ('a', 13), ('b', 2), ('a', -3), ('b', -7)] n=20, fixed words = 1958440401
g = [('b', 14), ('a', 6), ('b', -12), ('a', 15), ('b', -1), ('a', -10), ('b', 15), ('a', 13), ('b', -3), ('a', 14), ('b', -7), ('a', -10), ('b', 4), ('a', -12), ('b', -9)] n=20, fixed words = 1958440401
g = [('b', 8), ('a', 8), ('b', -14), ('a', 9), ('b', -11), ('a', 2), ('b', -6), ('a', 7), ('b', -4), ('a', -7), ('b', 8), ('a', 15), ('b', -5), ('a', 6), ('b', 3)] n=20, fixed words = 2371677705
g = [('a', -8), ('b', -2), ('a', 10), ('b', 2), ('a', -10), ('b', 3), ('a', -4), ('b', -4), ('a', 1), ('b', -2), ('a', -2), ('b', 3), ('a', -2), ('b', -14), ('a', -15)] n=20, fixed words = 2371866921
g = [('a', 2), ('b', 10), ('a', -7), ('b', -2), ('a', 9), ('b', -9), ('a', -6), ('b', 13), ('a', -9), ('b', 8), ('a', 15), ('b', -10), ('a', 10), ('b', -15), ('a', -14)] n=20, fixed words = 2620404819
g = [('a', 15), ('b', 10), ('a', -2), ('b', -3), ('a', 2), ('b', -9), ('a', 9), ('b', -9), ('a', 2), ('b', -6), ('a', 10), ('b', 14), ('a', 15), ('b', 4), ('a', -7)] n=20, fixed words = 1958440401
g = [('b', 12), ('a', -3), ('b', -7), ('a', -9), ('b', 2), ('a', 15), ('b', -11), ('a', 1), ('b', 12), ('a', -2), ('b', -11), ('a', 6), ('b', 9), ('a', 5), ('b', 10)] n=20, fixed words = 1958440401
g = [('a', 11), ('b', -2), ('a', -4), ('b', 5), ('a', 11), ('b', -6), ('a', 4), ('b', 1), ('a', 13), ('b', 9), ('a', -14), ('b', 14), ('a', 2), ('b', -6), ('a', 9)] n=20, fixed words = 2374194456
g = [('b', -9), ('a', 14), ('b', -14), ('a', 2), ('b', -8), ('a', 6), ('b', 5), ('a', -6), ('b', -9), ('a', 9), ('b', -3), ('a', -4), ('b', 3), ('a', -7), ('b', 6)] n=20, fixed words = 1958440401
g = [('a', 6), ('b', 12), ('a', -15), ('b', -14), ('a', -2), ('b', -12), ('a', -11), ('b', 5), ('a', -6), ('b', 12), ('a', 5), ('b', -11), ('a', -3), ('b', 1), ('a', -9)] n=20, fixed words = 1958440401
g = [('b', 13), ('a', 4), ('b', 11), ('a', 3), ('b', -14), ('a', 14), ('b', -2), ('a', -6), ('b', 2), ('a', -7), ('b', 2), ('a', -13), ('b', -14), ('a', 9), ('b', -14)] n=20, fixed words = 1958440401
g = [('a', -4), ('b', -2), ('a', -13), ('b', 2), ('a', 5), ('b', -2), ('a', -13), ('b', 8), ('a', -12), ('b', 1), ('a', 13), ('b', -1), ('a', -9), ('b', -9), ('a', -8)] n=20, fixed words = 2374194456
g = [('a', 8), ('b', 3), ('a', -2), ('b', -15), ('a', 8), ('b', 6), ('a', -8), ('b', 8), ('a', -5), ('b', 9), ('a', 8), ('b', 3), ('a', 10), ('b', -4), ('a', 2)] n=20, fixed words = 2371863357
g = [('b', 2), ('a', -6), ('b', -13), ('a', 11), ('b', 15), ('a', -11), ('b', -15), ('a', 7), ('b', 5), ('a', 11), ('b', 1), ('a', 2), ('b', 13), ('a', 12), ('b', -7)] n=20, fixed words = 1958440401
g = [('b', -13), ('a', 1), ('b', 10), ('a', 10), ('b', -13), ('a', -14), ('b', -9), ('a', 7), ('b', 1), ('a', 4), ('b', -11), ('a', 5), ('b', 13), ('a', 9), ('b', -1)] n=20, fixed words = 1958440401
g = [('b', 15), ('a', -14), ('b', 11), ('a', -2), ('b', -10), ('a', 10), ('b', -12), ('a', -3), ('b', -7), ('a', -2), ('b', 11), ('a', 9), ('b', -14), ('a', 5), ('b', -3)] n=20, fixed words = 2953348695
g = [('b', 8), ('a', 11), ('b', 3), ('a', -12), ('b', -2), ('a', -3), ('b', -3), ('a', 14), ('b', -2), ('a', 10), ('b', -12), ('a', 9), ('b', -14), ('a', 13), ('b', -3)] n=20, fixed words = 2350403406
g = [('a', 12), ('b', 12), ('a', 1), ('b', 1), ('a', -14), ('b', 9), ('a', 1), ('b', 15), ('a', -15), ('b', -1), ('a', 8), ('b', -15), ('a', 7), ('b', 7), ('a', 7)] n=20, fixed words = 1958440401
g = [('b', 12), ('a', 4), ('b', 8), ('a', 9), ('b', 10), ('a', -1), ('b', 6), ('a', 2), ('b', 9), ('a', 6), ('b', -11), ('a', -5), ('b', 3), ('a', 14), ('b', 11)] n=20, fixed words = 2393462709
g = [('a', -14), ('b', -10), ('a', 10), ('b', -14), ('a', -2), ('b', -6), ('a', 2), ('b', 10), ('a', -6), ('b', -9), ('a', 9), ('b', -6), ('a', 3), ('b', -11), ('a', -9)] n=20, fixed words = 1958440401
