g = [('a', 10), ('b', 1), ('a', -8), ('b', -1), ('a', -1), ('b', 2), ('a', 10)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', 1), ('a', -7), ('b', -5), ('a', 10), ('b', 3), ('a', -1), ('b', -7)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', 5), ('b', -5), ('a', -5), ('b', 2), ('a', 4), ('b', 8), ('a', -4)] n=100, fixed words = 109745247589671289569933309256620246095559539559
g = [('b', 8), ('a', -10), ('b', 1), ('a', -9), ('b', -9), ('a', -9), ('b', -5)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', 8), ('a', 1), ('b', -5), ('a', -1), ('b', -7), ('a', 7), ('b', 10)] n=100, fixed words = 72338921458747663964415515670902275010760680358
g = [('b', 4), ('a', -6), ('b', -1), ('a', 10), ('b', 7), ('a', 6), ('b', 10)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', 3), ('b', -9), ('a', -6), ('b', 7), ('a', -8), ('b', -7), ('a', 6)] n=100, fixed words = 103256667012696068099376983656336413987486554004
g = [('b', -3), ('a', 2), ('b', -9), ('a', -3), ('b', -2), ('a', 7), ('b', 1)] n=100, fixed words = 72338921458747663964415515670902275010760680358
g = [('a', 8), ('b', -8), ('a', 4), ('b', 5), ('a', -4), ('b', 6), ('a', -8)] n=100, fixed words = 259408150037867730383194191669237702630952132029
g = [('a', 4), ('b', 4), ('a', -3), ('b', 9), ('a', 3), ('b', 7), ('a', -10)] n=100, fixed words = 76835093801424586562885633964523590089726834586
g = [('a', 7), ('b', -6), ('a', -7), ('b', 8), ('a', -4), ('b', 4), ('a', 5)] n=100, fixed words = 72338921458747663964415515670902275010760680358
g = [('a', -5), ('b', -2), ('a', 6), ('b', 9), ('a', -2), ('b', -5), ('a', 4)] n=100, fixed words = 72338921458747663964415515670902275010760680358
g = [('a', -7), ('b', -5), ('a', 8), ('b', -7), ('a', 3), ('b', -3), ('a', -7)] n=100, fixed words = 167207680204414171640188507146020522964271173261
g = [('b', 8), ('a', 10), ('b', -5), ('a', 6), ('b', -6), ('a', 4), ('b', -2)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', 3), ('a', -7), ('b', 4), ('a', 3), ('b', -9), ('a', -6), ('b', 3)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -3), ('b', 2), ('a', -7), ('b', 7), ('a', -3), ('b', 2), ('a', -8)] n=100, fixed words = 76212193207964474685918461116459314564700840053
g = [('b', 1), ('a', -5), ('b', -1), ('a', 8), ('b', -7), ('a', -4), ('b', 3)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -4), ('a', 2), ('b', -1), ('a', 4), ('b', -4), ('a', 1), ('b', -8)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', 5), ('a', 10), ('b', 3), ('a', 1), ('b', 10), ('a', 2), ('b', -6)] n=100, fixed words = 72338921458747663964415515670902275010760680358
g = [('a', 10), ('b', -5), ('a', 1), ('b', -1), ('a', -8), ('b', -7), ('a', -8)] n=100, fixed words = 29763262633199482886345519360120838067631398155
