Fixed words of length 7 (count=2025):
w=1022010, g(w)=1022010
w=1022011, g(w)=1022011
w=1022012, g(w)=1022012
w=1022020, g(w)=1022020
w=1022021, g(w)=1022021
w=1022022, g(w)=1022022
w=1022100, g(w)=1022100
w=1022101, g(w)=1022101
w=1022102, g(w)=1022102
w=1022110, g(w)=1022110
w=1022111, g(w)=1022111
w=1022112, g(w)=1022112
w=1022120, g(w)=1022120
w=1022121, g(w)=1022121
w=1022122, g(w)=1022122
w=1022200, g(w)=1022200
w=1022201, g(w)=1022201
w=1022202, g(w)=1022202
w=1022210, g(w)=1022210
w=1022211, g(w)=1022211
w=1022212, g(w)=1022212
w=1022220, g(w)=1022220
w=1022221, g(w)=1022221
w=1022222, g(w)=1022222
w=1100100, g(w)=1100100
w=1100101, g(w)=1100101
w=1100102, g(w)=1100102
w=1100110, g(w)=1100110
w=1100111, g(w)=1100111
w=1100112, g(w)=1100112
w=1100120, g(w)=1100120
w=1100121, g(w)=1100121
w=1100122, g(w)=1100122
w=1100200, g(w)=1100200
w=1100201, g(w)=1100201
w=1100202, g(w)=1100202
w=1100210, g(w)=1100210
w=1100211, g(w)=1100211
w=1100212, g(w)=1100212
w=1100220, g(w)=1100220
w=1100221, g(w)=1100221
w=1100222, g(w)=1100222
w=1101000, g(w)=1101000
w=1101001, g(w)=1101001
w=1101002, g(w)=1101002
w=1101010, g(w)=1101010
w=1101011, g(w)=1101011
w=1101012, g(w)=1101012
w=1101020, g(w)=1101020
w=1101021, g(w)=1101021
w=1101022, g(w)=1101022
w=1101100, g(w)=1101100
w=1101101, g(w)=1101101
w=1101102, g(w)=1101102
w=1101110, g(w)=1101110
w=1101111, g(w)=1101111
w=1101112, g(w)=1101112
w=1101120, g(w)=1101120
w=1101121, g(w)=1101121
w=1101122, g(w)=1101122
w=1101200, g(w)=1101200
w=1101201, g(w)=1101201
w=1101202, g(w)=1101202
w=1101210, g(w)=1101210
w=1101211, g(w)=1101211
w=1101212, g(w)=1101212
w=1101220, g(w)=1101220
w=1101221, g(w)=1101221
w=1101222, g(w)=1101222
w=1102000, g(w)=1102000
w=1102001, g(w)=1102001
w=1102002, g(w)=1102002
w=1102010, g(w)=1102010
w=1102011, g(w)=1102011
w=1102012, g(w)=1102012
w=1102020, g(w)=1102020
w=1102021, g(w)=1102021
w=1102022, g(w)=1102022
w=1102100, g(w)=1102100
w=1102101, g(w)=1102101
w=1102102, g(w)=1102102
w=1102110, g(w)=1102110
w=1102111, g(w)=1102111
w=1102112, g(w)=1102112
w=1102120, g(w)=1102120
w=1102121, g(w)=1102121
w=1102122, g(w)=1102122
w=1102200, g(w)=1102200
w=1102201, g(w)=1102201
w=1102202, g(w)=1102202
w=1102210, g(w)=1102210
w=1102211, g(w)=1102211
w=1102212, g(w)=1102212
w=1102220, g(w)=1102220
w=1102221, g(w)=1102221
